"year" "min_6" "min_12" "min_18" "min_24" "min_30" "hr_1" "hr_2" "hr_3" "hr_6" "hr_8" "hr_12" "hr_24" "hr_48" "hr_72" "hr_120" "hr_168"
2005 8.8 9.6 12 12.4 12.8 16.8 18.4 18.4 19.6 20 20.8 21.8 26.8 41.8 49.2 52.8
2006 3 3.6 3.8 4 4.4 6.2 8.8 11.6 17 17.6 18.2 20.4 39.8 40 40 40.2
2007 13.6 19.8 21.8 21.8 21.8 22.2 27.8 29.8 33 33 33 33.2 44.2 50.0000000000001 51.2000000000001 57
2008 5 7.2 8.6 10 10.4 12.8 15.8 17.2 29 33.8 39.2 54.4 65.2000000000001 65.2000000000001 69.4000000000001 69.6000000000001
2009 3.4 5.2 6.4 6.8 7.4 10.4 15.2 17.6 25.4 25.8 25.8 26.4 32 46.4 50 53.8
2010 6.8 8.8 13.4 16 16 18 20.8 24.4 31.2 35.2 43.2000000000001 57.6000000000001 65.2000000000001 97.4000000000001 102 102
2011 9.8 15.4 20.8 23.2 25.6 34.6 46.8 50.6 52 52.2 70.4 95.8000000000001 122.8 167.8 206 206.2
2012 8.2 11 13.4 19.2 21.6 33.8 39 40.2 48.2 51.6 52 54.8 67 67 84.8000000000002 100.2
2013 9 17 24.2 27.6 29.2 30.4 30.8 30.8 34 36 40.6000000000001 56.8000000000001 70.0000000000002 72.2000000000002 72.2000000000002 72.2000000000002
2014 5.6 6.4 7 8.4 9.2 13.8 18.2 19.6 21.8 21.8 22.4 24.4 29.6 31.6 34.4 39.4
2015 14.4 20.6 24.6 26 27.2 32.8 33.8 33.8 35.4 36 37.6 44.2 44.2 44.2 54 63.4000000000001
2016 4.6 6.4 9 10 10.8 14.4 20.4 24 32.8 35.4 38 58 74.8000000000001 82.0000000000001 105.8 134.2
2017 7.8 13.8 15 20 22.6 24.2 24.2 24.2 36.6 43.2 46.4 54.4 57.2 57.6 57.6 75.0000000000001
2018 10 19.6 22.6 24.6 25 25.4 29.4 31.8 37 37 41.4 44.8 64.8 72.6 72.6 76.8000000000001
2019 4.6 7.4 10.8 11.2 12.6 14.8 16 16.4 24.8 30.4 42.2 56 57 70 71.2000000000001 72.2
2020 6.2 11.2 14.8 19 21 25.2 25.2 25.2 28.6 28.8 29.8 40.8 45.6 57.8 63.2 65.6
2021 4.6 7.8 11.2 14.2 17 21.8 35.2 38 38.6 42.4 46 51.2000000000001 51.6000000000001 51.6000000000001 60.4 60.4
